timestamp,ip_src,ip_dst,port_src,port_dst,transport_protocol,app_protocol,length
2024-12-04T20:46:56.007546,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:56.047509,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:56.162196,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:46:56.204526,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:46:56.354721,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:57.071492,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:57.378702,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:57.735000,192.168.0.31,20.54.36.229,26283,443,TCP,TLS,55
2024-12-04T20:46:57.774574,20.54.36.229,192.168.0.31,443,26283,TCP,TCP,66
2024-12-04T20:46:58.045010,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,167
2024-12-04T20:46:58.045085,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,12582
2024-12-04T20:46:58.095548,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:46:58.291383,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:58.291383,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:46:58.334054,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:46:58.385210,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:46:58.402664,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:59.324327,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:46:59.734012,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:00.135043,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,167
2024-12-04T20:47:00.135111,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,10499
2024-12-04T20:47:00.348746,192.168.0.1,224.0.0.1,N/A,N/A,N/A,IGMP,52
2024-12-04T20:47:00.348746,fe80::3e58:5dff:feb6:317,ff02::1,N/A,N/A,N/A,ICMPV6,90
2024-12-04T20:47:00.348746,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:00.379637,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:00.379637,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:00.379637,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:00.380473,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,148
2024-12-04T20:47:00.381128,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,89
2024-12-04T20:47:00.674183,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:00.679184,52.113.194.132,192.168.0.31,443,26373,TCP,TCP,54
2024-12-04T20:47:00.757855,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:00.844054,192.168.0.31,224.0.0.22,N/A,N/A,N/A,IGMP,70
2024-12-04T20:47:00.844247,fe80::dcdf:43c1:182a:735a,ff02::16,N/A,N/A,N/A,ICMPV6,150
2024-12-04T20:47:01.372328,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:01.679485,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:02.194625,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,166
2024-12-04T20:47:02.194900,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,14665
2024-12-04T20:47:02.396395,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:02.442474,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:02.442474,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:02.442474,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:02.442474,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:02.442474,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:02.602415,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,153
2024-12-04T20:47:02.654002,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:47:03.010333,192.168.0.31,162.254.198.69,26262,27021,TCP,TLS,107
2024-12-04T20:47:03.017461,162.254.198.69,192.168.0.31,27021,26262,TCP,TCP,60
2024-12-04T20:47:03.420447,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:04.342054,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:04.619519,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,167
2024-12-04T20:47:04.619623,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,10499
2024-12-04T20:47:04.865175,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:04.865175,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:04.865175,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:04.865749,40.79.189.58,192.168.0.31,443,26357,TCP,TLS,148
2024-12-04T20:47:04.912048,192.168.0.31,40.79.189.58,26357,443,TCP,TCP,54
2024-12-04T20:47:05.366033,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:05.691331,N/A,N/A,N/A,N/A,N/A,ARP,52
2024-12-04T20:47:05.691345,N/A,N/A,N/A,N/A,N/A,ARP,42
2024-12-04T20:47:06.389916,192.168.0.1,192.168.0.255,9431,9431,UDP,DATA,115
2024-12-04T20:47:06.660872,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,167
2024-12-04T20:47:06.660943,192.168.0.31,40.79.189.58,26357,443,TCP,TLS,10499
2024-12-04T20:47:06.906426,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
2024-12-04T20:47:06.906426,40.79.189.58,192.168.0.31,443,26357,TCP,TCP,60
