timestamp,ip_src,ip_dst,port_src,port_dst,transport_protocol,app_protocol,length
2025-03-25T20:34:18.716995,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.717006,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.726469,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.726969,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.726995,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.728088,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.736420,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.736463,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.737074,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.737188,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.737203,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.738211,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.746466,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.746505,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.746575,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.747059,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.747067,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.747178,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.747298,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.747304,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.748083,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.748200,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.748205,192.168.1.129,13.107.246.76,46446,443,TCP,TCP,54
2025-03-25T20:34:18.748563,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
2025-03-25T20:34:18.749857,13.107.246.76,192.168.1.129,443,46446,TCP,TLS,1464
