Timestamp,CPU Total (%),CPU User (%),CPU System (%),CPU Idle (%),CPU Interrupt (%),CPU DCP (%),Mem Total,Mem Available,Mem Percent,Mem used,Mem Free,Swap Total,Swap Used,Swap Free,Swap Percent,Swap Sin,Swap Sout,Disco - Lecturas Completadas,Disco - Escrituras Completadas
2025-04-11 19:39:21,16.6,13.5,2.9,83.4,0.1,0.2,34046693376,22631186432,33.5,11415506944,22631186432,5100273664,0,5100273664,0.0,0,0,326216,231516
2025-04-11 19:39:22,18.3,12.4,5.6,81.7,0.0,0.3,34046693376,22631178240,33.5,11415515136,22631178240,5100273664,0,5100273664,0.0,0,0,326223,231586
2025-04-11 19:39:23,14.6,10.3,4.2,85.4,0.1,0.0,34046693376,22627241984,33.5,11419451392,22627241984,5100273664,0,5100273664,0.0,0,0,326228,231689
2025-04-11 19:39:24,15.9,12.5,3.0,84.1,0.2,0.2,34046693376,22582996992,33.7,11463696384,22582996992,5100273664,0,5100273664,0.0,0,0,326237,231729
2025-04-11 19:39:25,17.9,13.3,4.2,82.1,0.1,0.4,34046693376,22533709824,33.8,11512983552,22533709824,5100273664,0,5100273664,0.0,0,0,326241,231739
2025-04-11 19:39:26,15.1,11.5,3.5,84.9,0.1,0.0,34046693376,22532046848,33.8,11514646528,22532046848,5100273664,0,5100273664,0.0,0,0,326252,231750
2025-04-11 19:39:27,14.7,10.3,4.0,85.3,0.3,0.1,34046693376,22526537728,33.8,11520155648,22526537728,5100273664,0,5100273664,0.0,0,0,326260,231793
2025-04-11 19:39:28,18.6,12.6,5.9,81.4,0.0,0.1,34046693376,22543441920,33.8,11503251456,22543441920,5100273664,0,5100273664,0.0,0,0,326280,231838
2025-04-11 19:39:29,16.8,11.6,4.9,83.2,0.1,0.3,34046693376,22537658368,33.8,11509035008,22537658368,5100273664,0,5100273664,0.0,0,0,326280,231838
2025-04-11 19:39:30,11.4,9.2,2.2,88.6,0.0,0.0,34046693376,22541131776,33.8,11505561600,22541131776,5100273664,0,5100273664,0.0,0,0,326284,231960
2025-04-11 19:39:31,10.9,9.0,1.7,89.1,0.1,0.1,34046693376,22529421312,33.8,11517272064,22529421312,5100273664,0,5100273664,0.0,0,0,326289,232106
2025-04-11 19:39:32,9.6,6.0,3.2,90.4,0.1,0.3,34046693376,22523883520,33.8,11522809856,22523883520,5100273664,0,5100273664,0.0,0,0,326293,232175
2025-04-11 19:39:33,3.2,1.2,1.6,96.8,0.3,0.1,34046693376,22526853120,33.8,11519840256,22526853120,5100273664,0,5100273664,0.0,0,0,326293,232175
2025-04-11 19:39:34,10.5,4.5,5.8,89.5,0.0,0.2,34046693376,22505644032,33.9,11541049344,22505644032,5100273664,0,5100273664,0.0,0,0,326296,232249
2025-04-11 19:39:35,19.3,12.7,6.0,80.7,0.5,0.1,34046693376,22462857216,34.0,11583836160,22462857216,5100273664,0,5100273664,0.0,0,0,326329,232353
2025-04-11 19:39:36,22.2,18.2,3.7,77.8,0.1,0.1,34046693376,22409818112,34.2,11636875264,22409818112,5100273664,0,5100273664,0.0,0,0,326337,232381
2025-04-11 19:39:37,16.2,12.9,3.1,83.8,0.0,0.2,34046693376,22386663424,34.2,11660029952,22386663424,5100273664,0,5100273664,0.0,0,0,326366,232389
2025-04-11 19:39:38,18.6,14.0,4.1,81.4,0.1,0.5,34046693376,22365990912,34.3,11680702464,22365990912,5100273664,0,5100273664,0.0,0,0,326372,232474
2025-04-11 19:39:39,12.9,10.2,2.3,87.1,0.1,0.3,34046693376,22380605440,34.3,11666087936,22380605440,5100273664,0,5100273664,0.0,0,0,326383,232517
2025-04-11 19:39:40,19.0,10.3,8.2,81.0,0.3,0.2,34046693376,22363533312,34.3,11683160064,22363533312,5100273664,0,5100273664,0.0,0,0,326383,232548
2025-04-11 19:39:41,5.2,2.4,2.4,94.8,0.1,0.2,34046693376,22355341312,34.3,11691352064,22355341312,5100273664,0,5100273664,0.0,0,0,326386,232597
2025-04-11 19:39:42,6.4,2.8,3.1,93.6,0.2,0.3,34046693376,22366257152,34.3,11680436224,22366257152,5100273664,0,5100273664,0.0,0,0,326398,232885
2025-04-11 19:39:43,3.2,1.8,1.5,96.8,0.0,0.0,34046693376,22360059904,34.3,11686633472,22360059904,5100273664,0,5100273664,0.0,0,0,326399,232998
2025-04-11 19:39:44,2.7,1.0,1.5,97.3,0.2,0.0,34046693376,22379114496,34.3,11667578880,22379114496,5100273664,0,5100273664,0.0,0,0,326399,233065
2025-04-11 19:39:45,3.3,1.3,1.8,96.7,0.1,0.0,34046693376,22402539520,34.2,11644153856,22402539520,5100273664,0,5100273664,0.0,0,0,326400,233126
2025-04-11 19:39:46,10.5,3.3,6.7,89.5,0.1,0.4,34046693376,22503055360,33.9,11543638016,22503055360,5100273664,0,5100273664,0.0,0,0,326401,233143
2025-04-11 19:39:47,2.4,1.7,0.5,97.6,0.1,0.1,34046693376,22536572928,33.8,11510120448,22536572928,5100273664,0,5100273664,0.0,0,0,326404,233191
2025-04-11 19:39:48,1.4,0.2,0.8,98.6,0.3,0.2,34046693376,22533427200,33.8,11513266176,22533427200,5100273664,0,5100273664,0.0,0,0,326412,233191
2025-04-11 19:39:49,0.4,0.3,0.1,99.6,0.0,0.0,34046693376,22536171520,33.8,11510521856,22536171520,5100273664,0,5100273664,0.0,0,0,326412,233192
2025-04-11 19:39:50,0.6,0.4,0.2,99.4,0.0,0.0,34046693376,22560874496,33.7,11485818880,22560874496,5100273664,0,5100273664,0.0,0,0,326412,233213
2025-04-11 19:39:51,4.1,1.3,2.7,95.9,0.0,0.1,34046693376,22569148416,33.7,11477544960,22569148416,5100273664,0,5100273664,0.0,0,0,326412,233275
2025-04-11 19:39:52,8.5,2.7,5.8,91.5,0.0,0.0,34046693376,22550937600,33.8,11495755776,22550937600,5100273664,0,5100273664,0.0,0,0,326412,233277
2025-04-11 19:39:53,1.1,0.5,0.4,98.9,0.2,0.0,34046693376,22547628032,33.8,11499065344,22547628032,5100273664,0,5100273664,0.0,0,0,326413,233369
2025-04-11 19:39:54,2.4,1.1,1.3,97.6,0.1,0.0,34046693376,22547099648,33.8,11499593728,22547099648,5100273664,0,5100273664,0.0,0,0,326413,233432
2025-04-11 19:39:55,5.7,3.2,2.1,94.3,0.1,0.3,34046693376,22557298688,33.7,11489394688,22557298688,5100273664,0,5100273664,0.0,0,0,326419,233512
2025-04-11 19:39:56,0.6,0.4,0.2,99.4,0.0,0.0,34046693376,22554578944,33.8,11492114432,22554578944,5100273664,0,5100273664,0.0,0,0,326421,233517
2025-04-11 19:39:57,6.9,2.2,4.3,93.1,0.1,0.3,34046693376,22552657920,33.8,11494035456,22552657920,5100273664,0,5100273664,0.0,0,0,326421,233576
2025-04-11 19:39:58,11.5,5.7,5.4,88.5,0.1,0.4,34046693376,22541246464,33.8,11505446912,22541246464,5100273664,0,5100273664,0.0,0,0,326421,233628
2025-04-11 19:39:59,6.8,3.7,2.5,93.2,0.2,0.4,34046693376,22508023808,33.9,11538669568,22508023808,5100273664,0,5100273664,0.0,0,0,326421,233628
2025-04-11 19:40:00,8.2,5.7,2.2,91.8,0.1,0.1,34046693376,22451650560,34.1,11595042816,22451650560,5100273664,0,5100273664,0.0,0,0,326421,233721
2025-04-11 19:40:01,21.6,15.9,5.3,78.4,0.3,0.1,34046693376,22321315840,34.4,11725377536,22321315840,5100273664,0,5100273664,0.0,0,0,326428,233834
2025-04-11 19:40:02,15.2,11.6,3.6,84.8,0.0,0.0,34046693376,22321790976,34.4,11724902400,22321790976,5100273664,0,5100273664,0.0,0,0,326512,233885
2025-04-11 19:40:03,14.0,6.1,7.3,86.0,0.3,0.3,34046693376,22328901632,34.4,11717791744,22328901632,5100273664,0,5100273664,0.0,0,0,326513,233885
2025-04-11 19:40:04,7.0,3.4,3.3,93.0,0.3,0.1,34046693376,22316224512,34.5,11730468864,22316224512,5100273664,0,5100273664,0.0,0,0,326514,233899
